NAICS Code,Success,County
11,-47827.5904911436,Prince Georges
52,-47827.59049205,Prince Georges
21,-47827.5904930387,Prince Georges
49,-47827.5904930387,Prince Georges
23,106954.648295553,Baltimore City
33,106213.305515222,Baltimore City
32,90166.8173607069,Baltimore City
72,83131.7859621919,Baltimore City
49,73889.3726517481,Baltimore City
31,71580.4285040453,Baltimore City
48,68752.5900816684,Baltimore City
44,54795.6026904229,Baltimore City
56,32192.2941043894,Baltimore City
52,-734.870763559517,Baltimore City
42,-17057.0132928508,Baltimore City
62,-20894.7461732722,Baltimore City
81,-26264.5930740114,Baltimore City
45,-29040.0048465074,Baltimore City
61,-34968.535239096,Baltimore City
54,-35153.5139115325,Baltimore City
51,-38408.7149554866,Baltimore City
53,-39574.5628717268,Baltimore City
71,-41707.7222362015,Baltimore City
92,-47827.5904917754,Baltimore City
22,-47827.5904930387,Baltimore City
21,-47827.5904930388,Baltimore City
11,-47827.5904930388,Baltimore City
42,338396.573300643,Baltimore
32,138816.517743585,Baltimore
33,102283.620513781,Baltimore
72,94908.8038112285,Baltimore
23,92614.0545157484,Baltimore
54,60495.2466040861,Baltimore
62,53295.8569034569,Baltimore
56,26691.4501658199,Baltimore
71,1139.20613973625,Baltimore
44,-11520.3575283724,Baltimore
45,-14730.8223791527,Baltimore
31,-16957.9921022546,Baltimore
21,-28088.0412975536,Baltimore
52,-33732.5985629082,Baltimore
53,-33898.8379676599,Baltimore
48,-43033.4782950009,Baltimore
81,-43206.273638586,Baltimore
51,-44745.0240118026,Baltimore
61,-45515.9124094433,Baltimore
55,-47827.5904930387,Baltimore
49,-47827.5904930387,Baltimore
22,-47827.5904930387,Baltimore
92,-47827.5904930387,Baltimore
11,-47827.5904930387,Baltimore
23,139981.239564967,Harford
53,46228.5660876498,Harford
56,35220.0162446537,Harford
62,1301.95052625431,Harford
51,-5151.14543226381,Harford
54,-5330.56986513012,Harford
33,-9650.19398717738,Harford
71,-16448.4095641669,Harford
44,-16977.6160893397,Harford
31,-17236.7208042728,Harford
72,-32438.6841302727,Harford
42,-34959.1408383837,Harford
45,-37043.7906774618,Harford
32,-38338.6129768216,Harford
81,-38398.5021631743,Harford
61,-43347.6875225775,Harford
11,-45586.9003463572,Harford
52,-45691.6658978705,Harford
48,-45887.7763085586,Harford
49,-47827.5904930388,Harford
55,-47827.5904930388,Harford
21,-47827.5904930388,Harford
22,-47827.5904930388,Harford
92,-47827.5904930388,Harford
49,248032.545697716,Frederick
53,35307.3031018213,Frederick
44,14499.8352187451,Frederick
71,-3018.44788691837,Frederick
32,-7596.69840409944,Frederick
62,-21901.6110504587,Frederick
72,-22702.0958920724,Frederick
31,-23211.1489058773,Frederick
54,-24248.4231506327,Frederick
42,-32978.5304047917,Frederick
81,-34794.0174676792,Frederick
23,-35400.3566119769,Frederick
61,-36375.9021591848,Frederick
11,-38807.4545367221,Frederick
45,-40490.7906011251,Frederick
33,-43139.7062147733,Frederick
56,-43501.9378679209,Frederick
48,-45702.4162859148,Frederick
92,-47051.6648179834,Frederick
52,-47601.2788376248,Frederick
51,-47827.5904911437,Frederick
55,-47827.5904930388,Frederick
22,-47827.5904930388,Frederick
33,283984.484902948,Queen Annes
52,179254.106195438,Queen Annes
42,158063.371357721,Queen Annes
54,90106.2517342573,Queen Annes
51,54827.0529560851,Queen Annes
31,29503.061553149,Queen Annes
56,14423.4769030012,Queen Annes
62,-5386.46059389731,Queen Annes
23,-13441.3126399957,Queen Annes
61,-20125.9301463782,Queen Annes
32,-20827.995781971,Queen Annes
45,-27965.8572991608,Queen Annes
72,-36705.9891672538,Queen Annes
81,-42421.990355598,Queen Annes
48,-42910.1615360353,Queen Annes
44,-45111.8506350192,Queen Annes
71,-47827.5904930388,Queen Annes
53,-47827.5904930388,Queen Annes
11,-47827.5904930388,Queen Annes
42,165296.822670235,Charles
32,95866.4471618429,Charles
53,35344.4604063533,Charles
54,33968.1165885014,Charles
44,12826.7918003412,Charles
23,3910.79937897482,Charles
81,-2518.5947739241,Charles
72,-15014.5473795098,Charles
71,-18286.523385409,Charles
45,-22294.9264651921,Charles
62,-25375.8053359938,Charles
56,-30016.5331968557,Charles
48,-36663.5548794038,Charles
33,-38129.9126646662,Charles
31,-43370.2375337639,Charles
61,-44144.2304296353,Charles
11,-45694.4414942701,Charles
51,-47449.973331411,Charles
52,-47827.5904921966,Charles
22,-47827.5904930388,Charles
49,-47827.5904930388,Charles
92,-47827.5904930388,Charles
54,176483.24058668,Calvert
61,43088.7260003525,Calvert
62,43007.2068315202,Calvert
72,17830.0651908798,Calvert
32,14907.2160702292,Calvert
53,10758.8389163229,Calvert
23,-1948.33303328818,Calvert
81,-16381.9951783316,Calvert
33,-17364.141382136,Calvert
45,-19103.1746162544,Calvert
92,-28429.4486469733,Calvert
31,-34515.3781730197,Calvert
71,-36155.5781516668,Calvert
51,-39635.1344525915,Calvert
56,-39810.2646187989,Calvert
48,-42745.2773313556,Calvert
44,-43007.6451359592,Calvert
42,-46578.5222665064,Calvert
52,-47827.5904867218,Calvert
49,-47827.5904930387,Calvert
11,-47827.5904930387,Calvert
31,850848.232043124,Kent
33,167741.923280522,Kent
54,146153.827894339,Kent
72,118996.429351286,Kent
23,17262.5188525943,Kent
42,-6121.58553461057,Kent
53,-36188.7053861575,Kent
45,-37481.9148407931,Kent
62,-47051.664811919,Kent
81,-47328.7811314777,Kent
44,-47827.5904854584,Kent
11,-47827.5904930387,Kent
92,-47827.5904930387,Kent
71,-47827.5904930387,Kent
51,-47827.5904930387,Kent
61,-47827.5904930387,Kent
56,-47827.5904930387,Kent
22,-47827.5904930387,Kent
48,-47827.5904930387,Kent
32,-47827.5904930387,Kent
32,201559.415721171,Carroll
53,59660.9206195349,Carroll
23,40733.8395272758,Carroll
44,39894.866892635,Carroll
62,38634.4667363332,Carroll
42,34187.2767883195,Carroll
72,-825.684037174466,Carroll
11,-13742.0857836798,Carroll
71,-14350.0423487243,Carroll
54,-21580.3603768382,Carroll
45,-30104.2304462886,Carroll
33,-30164.6609983743,Carroll
51,-30470.8215228429,Carroll
52,-35162.4749507008,Carroll
81,-36709.6901287004,Carroll
56,-38039.2920523319,Carroll
31,-38108.7168706116,Carroll
22,-41173.0245207756,Carroll
61,-43109.8543517679,Carroll
48,-47827.5904917753,Carroll
21,-47827.5904930387,Carroll
53,417446.307809863,Montgomery
42,57376.7586416676,Montgomery
62,24269.9890082303,Montgomery
51,16381.1864601899,Montgomery
23,12508.5450920387,Montgomery
44,9247.21163720098,Montgomery
54,2284.06579337818,Montgomery
72,-5632.60805061887,Montgomery
31,-8198.85028477675,Montgomery
33,-8468.39551085681,Montgomery
81,-8584.6098920389,Montgomery
32,-10467.4649664797,Montgomery
56,-14037.696305006,Montgomery
52,-29068.5143798455,Montgomery
45,-32087.2588434579,Montgomery
48,-32450.7922751993,Montgomery
61,-38004.1418478418,Montgomery
21,-40456.2965944142,Montgomery
92,-46998.3410875165,Montgomery
71,-47776.9866431165,Montgomery
49,-47827.5904930387,Montgomery
22,-47827.5904930387,Montgomery
11,-47827.5904930387,Montgomery
11,563310.46418773,Talbot
42,438730.418899439,Talbot
44,74565.9276366738,Talbot
72,58760.214012686,Talbot
31,11249.1677227907,Talbot
51,5058.59822643577,Talbot
54,-14187.0454744898,Talbot
23,-36437.0244168735,Talbot
45,-41398.4920524337,Talbot
61,-41829.6850327891,Talbot
71,-42493.1014855604,Talbot
62,-43288.4432557532,Talbot
56,-45056.4273716309,Talbot
33,-47016.3954693239,Talbot
32,-47568.948601859,Talbot
53,-47827.5904917754,Talbot
81,-47827.5904930388,Talbot
48,-47827.5904930388,Talbot
49,-47827.5904930388,Talbot
22,-47827.5904930388,Talbot
52,-47827.5904930388,Talbot
55,-47827.5904930388,Talbot
49,172018.017057797,Allegany
51,155852.898812946,Allegany
62,70315.3150357978,Allegany
72,27033.2555692811,Allegany
44,-157.731280672094,Allegany
42,-13463.7822261632,Allegany
81,-29946.9346609364,Allegany
33,-38516.4824105662,Allegany
61,-41038.2408495692,Allegany
11,-42654.7526694429,Allegany
31,-43947.962124259,Allegany
48,-45388.9669476294,Allegany
45,-46029.5551434649,Allegany
56,-46516.1398891684,Allegany
54,-46534.3810361292,Allegany
71,-47814.6583934263,Allegany
23,-47827.5904930389,Allegany
53,-47827.5904930389,Allegany
